locality_a,locality_b,transit_time_mins
ar--santa-cruz-corpen-aike,ar--santa-cruz-rio-gallegos,161
ar--santa-cruz-el-calafate-el-chalten,ar--santa-cruz-rio-gallegos,203
cl-ar--magallanes-santa-cruz-puerto-natales-rio-turbio,cl--magallanes-punta-arenas,175
cl--magallanes-punta-arenas,ar--santa-cruz-rio-gallegos,210
cl-ar--magallanes-santa-cruz-puerto-natales-rio-turbio,ar--santa-cruz-rio-gallegos,270
cl-ar--magallanes-santa-cruz-puerto-natales-rio-turbio,ar--santa-cruz-el-calafate-el-chalten,270
