locality_a,locality_b,transit_time_mins
gb-eng--buckinghamshire-milton-keynes,gb-eng--bedfordshire-bedford,28
gb-eng--bedfordshire-bedford,gb-eng--cambridgeshire-cambridge,50
gb-eng--oxfordshire,gb-eng--bedfordshire-luton,70
gb-eng--cambridgeshire-cambridge,gb-eng--essex-chelmsford,60
gb-eng--cambridgeshire-cambridge,gb-eng--essex-colchester,65
gb-eng--hertfordshire-stevenage-welwyn,gb-eng--essex-colchester,70
gb-eng--west-sussex-surrey-crawley,gb-eng--berkshire-windsor-slough-maidenhead,60
gb-eng--east-sussex-eastbourne-hastings,gb-eng--kent-ashford,60
gb-eng--east-sussex-eastbourne-hastings,gb-eng--kent-east-sussex-tunbridge-sevenoaks,50
gb-eng--east-sussex-eastbourne-hastings,gb-eng--east-sussex-west-sussex-brighton-worthington,50
gb-eng--east-sussex-eastbourne-hastings,gb-eng--kent-medway-maidstone,70
gb-eng--east-sussex-west-sussex-brighton-worthington,gb-eng--west-sussex-surrey-crawley,30
gb-eng--east-sussex-eastbourne-hastings,gb-eng--west-sussex-surrey-crawley,60
gb-eng--kent-ashford,gb-eng--kent-east-sussex-tunbridge-sevenoaks,36
gb-eng--east-sussex-west-sussex-brighton-worthington,gb-eng--west-sussex-south-downs,50
gb-eng--east-sussex-west-sussex-brighton-worthington,gb-eng--hampshire-portsmouth,60
gb-eng--west-sussex-south-downs,gb-eng--hampshire-portsmouth,40
gb-eng--hampshire-portsmouth,gb-eng--isle-of-wight,100
gb-eng--hampshire-portsmouth,gb-eng--hampshire-southampton-winchester,30
gb-eng--hampshire-basingstoke,gb-eng--hampshire-southampton-winchester,29
gb-eng--west-sussex-south-downs,gb-eng--hampshire-southampton-winchester,55
gb-eng--hampshire-portsmouth,gb-eng--surrey-hampshire-guildford-woking-blackwater,50
gb-eng--london-central-london,eu-fr--ile-de-france-paris-centre,270
gb-eng--london-central-london,eu-fr--hauts-de-france-lille,210
gb-eng--london-central-london,eu-be--bruxelles-capitale-bruxelles,240
eu-fr--ile-de-france-paris-centre,eu-fr--hauts-de-france-lille,91
eu-fr--hauts-de-france-lille,eu-be--bruxelles-capitale-bruxelles,69
eu-fr--ile-de-france-paris-centre,eu-be--bruxelles-capitale-bruxelles,116
gb-eng--berkshire-reading,gb-eng--wiltshire-swindon,24
gb-eng--wiltshire-swindon,gb-eng--somerset-bath,22
gb-eng--somerset-bath,gb-eng--bristol,30
gb-eng--oxfordshire,gb-eng--wiltshire-swindon,50
gb-eng--hampshire-basingstoke,gb-eng--wiltshire-salisbury-plain,40
gb-eng--hampshire-southampton-winchester,gb-eng--wiltshire-salisbury-plain,45
gb-eng--somerset-bath,gb-eng--wiltshire-salisbury-plain,55
gb-eng--wiltshire-swindon,gb-eng--wiltshire-salisbury-plain,55
gb-eng--bristol,gb-eng--somerset-weston,35
gb-eng--bristol,gb-eng--somerset-the-levels,65
gb-eng--wiltshire-salisbury-plain,gb-eng--somerset-the-levels,55
gb-eng--somerset-bath,gb-eng--somerset-the-levels,55
gb-eng--somerset-weston,gb-eng--somerset-the-levels,45
gb-eng--somerset-bath,gb-eng--somerset-weston,47
gb-eng--hampshire-southampton-winchester,gb-eng--dorset-bournemouth,40
gb-eng--wiltshire-salisbury-plain,gb-eng--dorset-bournemouth,50
gb-eng--dorset-bournemouth,gb-eng--dorset-jurassic-coast,55
gb-eng--somerset-the-levels,gb-eng--dorset-jurassic-coast,60
