locality_a,locality_b,transit_time_mins
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-essex-outer-east,90.0
gb--essex-southend,gb--london-inner-west,80.0
gb--london-inner-west,gb--london-surrey-outer-south-west,40.0
gb--london-inner-north-west,gb--london-inner-west,22.0
gb--kent-medway-maidstone,gb--london-inner-west,70.0
gb--london-inner-west,gb--surrey-west-surrey,80.0
gb--london-inner-north-east,gb--london-inner-west,38.0
gb--london-inner-south,gb--london-inner-west,26.0
gb--london-hertfordshire-outer-north,gb--london-inner-west,40.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-west,35.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-west,70.0
gb--london-central-london,gb--london-inner-west,15.0
gb--london-inner-north,gb--london-inner-west,35.0
gb--london-inner-west,gb--london-surrey-outer-south,47.0
gb--kent-north-west-kent,gb--london-inner-west,65.0
gb--london-essex-outer-north-east,gb--london-inner-west,50.0
gb--london-inner-east,gb--london-inner-west,39.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-west,75.0
gb--london-inner-south-west,gb--london-inner-west,12.0
gb--london-inner-west,gb--surrey-west-sussex-east-surrey,72.0
gb--kent-south-west-kent,gb--london-inner-west,72.0
gb--essex-chelmsford,gb--london-inner-west,54.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-west,70.0
gb--berkshire-reading,gb--london-inner-west,63.0
gb--london-inner-west,gb--london-kent-outer-south-east,55.0
gb--essex-thurrock,gb--london-inner-west,60.0
gb--london-essex-outer-east,gb--london-inner-west,55.0
gb--essex-southend,gb--london-surrey-outer-south-west,119.0
gb--essex-southend,gb--london-inner-north-west,91.0
gb--essex-southend,gb--kent-medway-maidstone,120.0
gb--essex-southend,gb--surrey-west-surrey,130.0
gb--essex-southend,gb--london-inner-north-east,91.0
gb--essex-southend,gb--london-inner-south,83.0
gb--essex-southend,gb--london-hertfordshire-outer-north,100.0
gb--essex-southend,gb--london-hertfordshire-buckinghamshire-outer-north-west,110.0
gb--berkshire-windsor-slough-maidenhead,gb--essex-southend,120.0
gb--essex-southend,gb--london-central-london,65.0
gb--essex-southend,gb--london-inner-north,85.0
