locality_a,locality_b,transit_time_mins
us--ny-new-york-city-northeast-bronx,us--ny-new-york-city-southwestern-brooklyn,80.0
us--ny-new-york-city-southeast-bronx,us--ny-new-york-city-southwestern-brooklyn,68.0
us--ny-new-york-city-midtown-manhattan,us--ny-new-york-city-southwestern-brooklyn,38.0
us--ny-nassau-county-north-shore,us--ny-new-york-city-southwestern-brooklyn,80.0
us--ny-new-york-city-northeastern-queens,us--ny-new-york-city-southwestern-brooklyn,68.0
us--ny-east-central-suffolk-county,us--ny-new-york-city-southwestern-brooklyn,120.0
us--nj-jersey-city-hoboken,us--ny-new-york-city-southwestern-brooklyn,40.0
us--ny-new-york-city-southwestern-brooklyn,us--ny-new-york-city-staten-island-south-shore,24.0
us--ny-new-york-city-southwestern-brooklyn,us--ny-new-york-city-uptown-manhattan,59.0
us--ny-new-york-city-northwest-bronx,us--ny-new-york-city-southwestern-brooklyn,82.0
us--ny-new-york-city-northwestern-brooklyn,us--ny-new-york-city-southwestern-brooklyn,18.0
us--ny-nassau-county-south-shore,us--ny-new-york-city-southwestern-brooklyn,76.0
us--ny-new-york-city-northwestern-queens,us--ny-new-york-city-southwestern-brooklyn,52.0
us--nj-bayonne,us--ny-new-york-city-southwestern-brooklyn,32.0
us--ny-new-york-city-central-brooklyn,us--ny-new-york-city-southwestern-brooklyn,16.0
us--ny-new-york-city-southwestern-brooklyn,us--ny-new-york-city-upper-east-side,50.0
us--ny-new-york-city-southwestern-brooklyn,us--ny-new-york-city-the-rockaways,42.0
us--ny-new-york-city-central-queens,us--ny-new-york-city-southwestern-brooklyn,50.0
us--ny-new-york-city-southwestern-brooklyn,us--ny-north-fork-long-island,165.0
us--ny-new-york-city-southwest-bronx,us--ny-new-york-city-southwestern-brooklyn,70.0
us--ny-new-york-city-downtown-manhattan,us--ny-new-york-city-southwestern-brooklyn,30.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-upper-manhattan,44.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-southern-brooklyn,40.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-southwestern-queens,28.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-southeastern-queens,38.0
us--ny-nassau-county-hub,us--ny-new-york-city-northern-brooklyn,42.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-staten-island-north-shore,42.0
us--ny-new-york-city-northern-brooklyn,us--ny-west-central-suffolk-county,68.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-staten-island-mid-island,52.0
us--ny-new-york-city-northern-brooklyn,us--ny-the-hamptons,141.0
us--ny-new-york-city-eastern-brooklyn,us--ny-new-york-city-northern-brooklyn,22.0
us--ny-new-york-city-northeast-bronx,us--ny-new-york-city-northern-brooklyn,48.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-southeast-bronx,36.0
us--ny-new-york-city-midtown-manhattan,us--ny-new-york-city-northern-brooklyn,20.0
us--ny-nassau-county-north-shore,us--ny-new-york-city-northern-brooklyn,46.0
us--ny-new-york-city-northeastern-queens,us--ny-new-york-city-northern-brooklyn,34.0
us--ny-east-central-suffolk-county,us--ny-new-york-city-northern-brooklyn,86.0
us--nj-jersey-city-hoboken,us--ny-new-york-city-northern-brooklyn,24.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-staten-island-south-shore,58.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-uptown-manhattan,32.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-northwest-bronx,48.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-northwestern-brooklyn,16.0
us--ny-nassau-county-south-shore,us--ny-new-york-city-northern-brooklyn,52.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-northwestern-queens,18.0
us--nj-bayonne,us--ny-new-york-city-northern-brooklyn,38.0
us--ny-new-york-city-central-brooklyn,us--ny-new-york-city-northern-brooklyn,22.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-upper-east-side,22.0
