lat,lon
56.1668,28.1614
56.2784,28.2465
56.4494,28.2047
56.5279,28.1137
56.5809,28.1566
56.602,28.0488
56.6966,28.0323
56.7563,27.9204
56.8456,28.0124
56.8931,27.8589
56.8599,27.6924
56.9056,27.6958
56.9167,27.7621
57.0136,27.7848
57.0288,27.7539
57.1202,27.7848
57.1388,27.8476
57.335,27.9149
57.4509,27.6169
57.5888,27.6677
57.5477,27.382
57.5788,27.3518
57.5993,27.4315
57.646,27.3954
57.6832,27.4116
57.7124,27.5623
57.825,27.5602
57.8309,27.7975
57.8979,27.828
58.0094,27.7007
58.0332,27.6378
58.1544,27.6193
58.2355,27.5266
58.3646,27.6011
58.9656,27.7625
59.2427,27.9602
59.2799,28.1854
59.3493,28.1957
59.35236,28.19401
59.35752,28.20276
59.36093,28.20139
59.36399,28.20826
59.36714,28.20808
59.3723,28.21341
59.37536,28.20499
59.38481,28.21306
59.42456,28.17907
59.46697,28.08123
59.48057,28.03934
59.819,27.589
60.5981,27.8946
60.9484,28.539
60.9314,28.7066
61.1233,28.8425
61.2656,29.2593
62.1456,30.6244
62.2052,30.6591
62.2065,30.7439
62.441,31.185
54.476,37.661
