slug,name,area_of_reference,point_of_reference,lat,lon
au--qld-brisbane-ipswitch,AU: QLD: Brisbane: Ipswitch,Ipswitch,Ipswitch Train Station,-27.61285,152.76046
au--qld-gold-coast-downtown,AU: QLD: Gold Coast: Downtown,Surfers Paradise,Surfers Paradise Post Office,-28.00279,153.4306
au--qld-gold-coast-northern,AU: QLD: Gold Coast: Northern,Upper Coomera,Upper Coomera Post Office,-27.84941,153.30222
au--qld-gold-coast-southern,AU: QLD: Gold Coast: Southern,Burleigh Waters,Burleigh Town Post Office,-28.09779,153.43994
au--qld-gold-coast-hinterland,AU: QLD: Gold Coast: Hinterland,Nerang,Nerang Post Office,-28.00023,153.33854
au--nsw-qld-tweed-coolangatta,AU: NSW/QLD: Tweed-Coolangatta,Tweed Heads,Tweed Heads Post Office,-28.17247,153.54393
au--qld-sunshine-coast-maroochy,AU: QLD: Sunshine Coast: Maroochy,Maroochydore,Maroochydore Post Office,-26.65205,153.09214
au--qld-sunshine-coast-noosa,AU: QLD: Sunshine Coast: Noosa,Noosa Heads,Noosa Heads Post Office,-26.39672,153.08852
au--qld-sunshine-coast-caloundra,AU: QLD: Sunshine Coast: Caloundra,Caloundra,Caloundra Post Office,-26.80321,153.13415
au--qld-darling-downs,AU: QLD: Darling Downs,Millmerran,Millmerran Post Office,-27.87346,151.27113
au--qld-granite-belt,AU: QLD: Granite Belt,Stanthorpe,Stanthorpe Post Office,-28.65563,151.93392
au--qld-maranoa,AU: QLD: Maranoa,Surat,Surat Post Office,-27.15237,149.0705
au--qld-warrego,AU: QLD: Warrego,Wyandra,Wyandra Post Office,-27.24661,145.98064
au--qld-channel-country,AU: QLD: Channel Country,Windorah,Windorah Post Office,-25.42145,142.65444
au--qld-wide-bay,AU: QLD: Wide Bay,Tiaro,Tiaro Post Office,-25.72701,152.58355
au--qld-burnett,AU: QLD: Burnett,Bundaberg,Bundaberg Train Station,-24.86826,152.34534
au--qld-capricornia,AU: QLD: Capricornia,Rockhampton,Rockhampton Train Station,-23.39,150.5122
au--qld-central-highlands,AU: QLD: Central Highlands,Emerald,Emerald Post Office,-23.52538,148.16072
au--qld-central-west,AU: QLD: Central West,Barcaldine,Barcaldine Post Office,-23.55327,145.28386
au--qld-whitsundays,AU: QLD: Whitsundays,Mackay,Mackay Post Office,-21.14325,149.18717
au--qld-townsville,AU: QLD: Townsville,Townsville,Townsville Train Station,-19.26937,146.80803
au--qld-flinders,AU: QLD: Flinders,Hughenden,Hughenden Post Office,-20.84224,144.20023
au--qld-north-west,AU: QLD: North West,Cloncurry,Cloncurry Post Office,-20.70543,140.50562
au--qld-far-north-coast,AU: QLD: Far North Coast,Cairns,Cairns Post Office,-16.91238,145.74068
au--qld-gulf-country,AU: QLD: Gulf Country,Normanton,Normanton Post Office,-17.66943,141.07944
au--qld-cape-york,AU: QLD: Cape York,Laura,Laura Police Station,-15.5601,144.4468
