lat,lon
20.7067,92.3631
20.4614,92.3679
10.2406,79.964
10.096,79.4215
9.7091,79.221
9.197,79.5287
9.0519,79.4366
7.956,77.712
7.983,76.097
19.322,71.191
21.78,66.654
23.3725,68.0644
24.1643,68.9694
24.1016,71.1502
24.7581,71.0829
25.7207,70.6229
25.7393,70.2617
26.0161,70.1161
26.5861,70.2095
27.025,69.571
27.968,70.417
27.713,70.925
28.057,71.971
28.849,72.543
29.9347,73.4175
30.1807,73.9984
30.4037,73.9517
31.1164,74.7112
31.1411,74.534
31.4802,74.6837
31.6031,74.5869
31.9207,74.6686
32.0605,75.0229
32.1558,75.3387
32.344,75.3648
32.4982,74.6947
32.8554,74.7125
32.8219,74.626
32.7861,74.6082
32.7896,74.4749
32.9061,74.4173
32.9418,74.3445
33.0449,74.3349
33.2295,74.0348
33.3351,74.1907
33.5654,74.1811
33.61,74.0382
33.8134,74.0465
33.8944,74.3047
34.0595,74.2703
34.0561,73.9297
34.3026,74.0781
34.3661,73.7814
34.649,74.0108
34.7585,74.3665
34.4896,75.7755
34.6569,76.057
34.6185,76.1751
35.2972,77.7489
34.5156,78.0922
34.281,78.5165
33.5013,78.4726
32.7642,78.9574
32.4959,78.2625
31.979,78.7239
31.2281,78.7582
31.3466,79.1167
30.9234,79.552
30.8138,79.9667
30.5599,80.1741
30.214,80.9789
30.0025,81.0805
29.9978,81.2604
30.1689,81.3043
30.3515,81.4677
29.1402,83.6197
29.2972,83.8628
29.2085,84.1347
28.6629,84.202
28.2391,85.3432
27.9532,85.9447
27.7783,88.0623
27.9823,88.7819
27.3998,88.7874
27.1923,88.9755
27.3669,89.198
28.1023,89.6292
27.6872,91.8883
27.876,92.73
28.459,93.145
29.222,94.785
29.14,96.106
28.333,97.009
28.225,97.256
27.6422,96.8349
27.1636,97.1088
27.1007,97.0278
27.4132,96.4915
27.2021,95.934
26.3888,95.1468
26.234,95.1286
25.741,95.021
25.3986,94.6335
25.0545,94.7351
23.6408,94.2696
24.0866,93.3131
23.3921,93.3728
23.0481,93.2787
23.0835,93.1057
22.2472,93.1613
21.9991,92.9045
21.9329,92.6106
21.3022,92.6697
21.3226,92.2028
21.1991,92.1918
21.1293,92.1952
20.706,92.3703
